customerID,tenure,MonthlyCharges,TotalCharges,Contract,InternetService,PaymentMethod,gender,SeniorCitizen,OnlineSecurity,TechSupport,PaperlessBilling,Actual_Churn,Predicted_Churn,Churn_Probability,Risk_Tier,Retention_Action
0434-CSFON,47,100.5,4707.1,Month-to-month,Fiber optic,Electronic check,Female,0,No,No,Yes,0,1,0.78684944,High Risk,Promote auto-pay switch to reduce billing friction
1215-FIGMP,60,89.9,5450.7,Month-to-month,Fiber optic,Bank transfer (automatic),Male,0,No,No,Yes,0,0,0.3146331,Low Risk,Upsell security/support bundle
0526-SXDJP,72,42.1,2962.0,Two year,DSL,Bank transfer (automatic),Male,0,Yes,No,No,0,0,0.00504354,Low Risk,Upsell security/support bundle
0557-ASKVU,18,54.4,957.1,One year,DSL,Credit card (automatic),Female,0,No,Yes,Yes,0,0,0.14852399,Low Risk,Upsell security/support bundle
5698-BQJOH,9,94.4,857.25,Month-to-month,Fiber optic,Electronic check,Female,0,No,No,No,1,1,0.85162693,High Risk,Promote auto-pay switch to reduce billing friction
5122-CYFXA,3,75.3,244.1,Month-to-month,DSL,Electronic check,Female,0,No,Yes,Yes,0,0,0.5069149,Medium Risk,Upsell security/support bundle
8627-ZYGSZ,47,78.9,3650.35,One year,Fiber optic,Electronic check,Male,0,No,No,Yes,0,0,0.22490875,Low Risk,Upsell security/support bundle
3410-YOQBQ,31,79.2,2497.2,Two year,DSL,Mailed check,Female,0,No,Yes,No,0,0,0.05200198,Low Risk,Upsell security/support bundle
3170-NMYVV,50,20.15,930.9,Two year,No,Bank transfer (automatic),Female,0,No,No,No,0,0,0.025081007,Low Risk,Upsell security/support bundle
7410-OIEDU,10,79.85,887.35,Month-to-month,Fiber optic,Mailed check,Male,0,Yes,No,Yes,0,1,0.64855474,Medium Risk,Upsell security/support bundle
2273-QCKXA,1,49.05,49.05,Month-to-month,DSL,Mailed check,Male,0,No,Yes,No,0,0,0.4116006,Medium Risk,Send proactive onboarding call/email
0731-EBJQB,52,20.4,1090.65,One year,No,Electronic check,Female,0,No,No,Yes,0,0,0.056585845,Low Risk,Upsell security/support bundle
1891-QRQSA,64,111.6,7099.0,Two year,Fiber optic,Bank transfer (automatic),Male,1,Yes,Yes,Yes,0,0,0.14306943,Low Risk,Offer senior-friendly discounted plan
8028-PNXHQ,62,24.25,1424.6,Two year,No,Bank transfer (automatic),Male,0,No,No,Yes,0,0,0.009001255,Low Risk,Upsell security/support bundle
5630-AHZIL,3,64.5,177.4,Month-to-month,DSL,Bank transfer (automatic),Female,0,Yes,Yes,Yes,0,0,0.43331933,Medium Risk,Send proactive onboarding call/email
2673-CXQEU,56,110.5,6139.5,One year,Fiber optic,Electronic check,Female,1,Yes,No,No,0,0,0.28188333,Low Risk,Promote auto-pay switch to reduce billing friction
6416-JNVRK,46,55.65,2688.85,One year,DSL,Credit card (automatic),Female,0,No,No,No,0,0,0.21623492,Low Risk,Upsell security/support bundle
5590-ZSKRV,8,54.65,482.25,Month-to-month,DSL,Mailed check,Female,0,Yes,No,No,0,0,0.3164466,Low Risk,Upsell security/support bundle
0191-ZHSKZ,30,74.75,2111.3,Month-to-month,DSL,Electronic check,Male,1,Yes,No,Yes,0,0,0.28610027,Low Risk,Upsell security/support bundle
3887-PBQAO,45,25.9,1216.6,One year,No,Credit card (automatic),Female,0,No,No,Yes,0,0,0.033444256,Low Risk,Upsell security/support bundle
5919-TMRGD,1,79.35,79.35,Month-to-month,Fiber optic,Electronic check,Female,0,No,No,Yes,1,1,0.95219916,High Risk,Offer contract discount (lock into 1-2yr plan)
8108-UXRQN,11,50.55,565.35,Month-to-month,DSL,Electronic check,Female,0,Yes,No,No,0,0,0.4196566,Medium Risk,Upsell security/support bundle
9191-MYQKX,7,75.15,496.9,Month-to-month,Fiber optic,Bank transfer (automatic),Female,0,No,No,Yes,1,1,0.7847693,High Risk,Upsell security/support bundle
9919-YLNNG,42,103.8,4327.5,Month-to-month,Fiber optic,Bank transfer (automatic),Female,0,No,Yes,Yes,0,1,0.5465985,Medium Risk,Upsell security/support bundle
0318-ZOPWS,49,20.15,973.35,Two year,No,Bank transfer (automatic),Female,0,No,No,Yes,0,0,0.028313143,Low Risk,Upsell security/support bundle
4445-ZJNMU,9,99.3,918.75,Month-to-month,Fiber optic,Credit card (automatic),Male,0,No,No,Yes,0,1,0.93194497,High Risk,Upsell security/support bundle
4808-YNLEU,35,62.15,2215.45,One year,DSL,Bank transfer (automatic),Female,0,Yes,No,Yes,0,0,0.107976854,Low Risk,Upsell security/support bundle
1862-QRWPE,48,20.65,1057.0,Two year,No,Bank transfer (automatic),Female,0,No,No,No,0,0,0.029762963,Low Risk,Upsell security/support bundle
2796-NNUFI,46,19.95,927.1,Two year,No,Mailed check,Female,0,No,No,Yes,0,0,0.021908991,Low Risk,Upsell security/support bundle
3016-KSVCP,29,33.75,1009.25,Month-to-month,DSL,Mailed check,Male,0,No,No,No,0,0,0.47751984,Medium Risk,Upsell security/support bundle
4767-HZZHQ,30,82.05,2570.2,Month-to-month,Fiber optic,Bank transfer (automatic),Male,0,No,No,No,0,0,0.4211678,Medium Risk,Upsell security/support bundle
2424-WVHPL,1,74.7,74.7,Month-to-month,Fiber optic,Electronic check,Male,1,No,Yes,No,0,1,0.59987277,Medium Risk,Offer contract discount (lock into 1-2yr plan)
7233-PAHHL,66,84.0,5714.25,Two year,DSL,Mailed check,Male,0,Yes,Yes,Yes,0,0,0.028104393,Low Risk,Monitor — no immediate action needed
6067-NGCEU,65,111.05,7107.0,Month-to-month,Fiber optic,Credit card (automatic),Female,0,Yes,No,Yes,0,0,0.23877275,Low Risk,Upsell security/support bundle
9848-JQJTX,72,100.9,7459.05,Two year,Fiber optic,Bank transfer (automatic),Male,0,No,No,Yes,0,0,0.07653666,Low Risk,Upsell security/support bundle
8637-XJIVR,12,78.95,927.35,Month-to-month,Fiber optic,Electronic check,Female,0,Yes,No,Yes,1,1,0.80773056,High Risk,Upsell security/support bundle
9803-FTJCG,71,66.85,4748.7,One year,DSL,Credit card (automatic),Male,0,Yes,Yes,Yes,0,0,0.01887788,Low Risk,Monitor — no immediate action needed
0278-YXOOG,5,21.05,113.85,Month-to-month,No,Mailed check,Male,0,No,No,No,1,0,0.2918651,Low Risk,Upsell security/support bundle
3212-KXOCR,52,21.0,1107.2,Two year,No,Bank transfer (automatic),Male,0,No,No,No,0,0,0.04168126,Low Risk,Upsell security/support bundle
4598-XLKNJ,25,98.5,2514.5,Month-to-month,Fiber optic,Electronic check,Female,1,No,No,Yes,1,1,0.84295267,High Risk,Promote auto-pay switch to reduce billing friction
6380-ARCEH,1,20.2,20.2,Month-to-month,No,Mailed check,Male,0,No,No,No,0,1,0.55178773,Medium Risk,Send proactive onboarding call/email
3679-XASPY,1,19.45,19.45,Month-to-month,No,Electronic check,Female,0,No,No,No,0,1,0.60995185,Medium Risk,Send proactive onboarding call/email
7123-WQUHX,38,95.0,3605.6,One year,Fiber optic,Bank transfer (automatic),Male,0,No,Yes,No,0,0,0.11221966,Low Risk,Upsell security/support bundle
5386-THSLQ,66,45.55,3027.25,One year,DSL,Bank transfer (automatic),Female,1,No,No,No,0,0,0.07518972,Low Risk,Upsell security/support bundle
3192-NQECA,68,110.0,7611.85,Two year,Fiber optic,Bank transfer (automatic),Male,0,No,Yes,Yes,1,1,0.59840983,Medium Risk,Upsell security/support bundle
6180-YBIQI,5,24.3,100.2,Month-to-month,DSL,Mailed check,Male,0,No,No,No,0,1,0.6078891,Medium Risk,Upsell security/support bundle
6728-DKUCO,72,104.15,7303.05,One year,Fiber optic,Electronic check,Female,0,Yes,No,Yes,0,0,0.111839876,Low Risk,Promote auto-pay switch to reduce billing friction
9750-BOOHV,32,30.15,927.65,One year,DSL,Mailed check,Female,0,Yes,No,No,0,0,0.09550917,Low Risk,Upsell security/support bundle
8597-CWYHH,43,94.35,3921.3,One year,Fiber optic,Mailed check,Male,0,No,No,No,0,0,0.35914478,Low Risk,Upsell security/support bundle
2848-YXSMW,72,19.4,1363.25,Two year,No,Credit card (automatic),Male,0,No,No,No,0,0,0.0062221475,Low Risk,Upsell security/support bundle
0486-HECZI,55,96.75,5238.9,Month-to-month,Fiber optic,Electronic check,Male,0,Yes,No,Yes,1,1,0.56735575,Medium Risk,Promote auto-pay switch to reduce billing friction
4549-ZDQYY,52,57.95,3042.25,One year,DSL,Credit card (automatic),Female,0,Yes,Yes,No,0,0,0.14487624,Low Risk,Monitor — no immediate action needed
5712-AHQNN,43,91.65,3954.1,Month-to-month,Fiber optic,Electronic check,Female,0,No,No,Yes,0,0,0.5258687,Medium Risk,Promote auto-pay switch to reduce billing friction
4846-WHAFZ,37,76.5,2868.15,Month-to-month,Fiber optic,Electronic check,Female,1,No,No,Yes,1,1,0.7613354,High Risk,Upsell security/support bundle
5256-SKJGO,64,54.6,3423.5,Two year,DSL,Electronic check,Female,0,No,Yes,Yes,0,0,0.0497756,Low Risk,Upsell security/support bundle
3071-VBYPO,3,89.85,248.4,Month-to-month,Fiber optic,Electronic check,Male,0,Yes,No,No,0,1,0.57338125,Medium Risk,Offer contract discount (lock into 1-2yr plan)
9560-BBZXK,36,31.05,1126.35,Two year,DSL,Bank transfer (automatic),Female,0,Yes,No,No,0,0,0.038137306,Low Risk,Upsell security/support bundle
5299-RULOA,10,100.25,1064.65,Month-to-month,Fiber optic,Electronic check,Female,0,Yes,No,Yes,1,1,0.938565,High Risk,Promote auto-pay switch to reduce billing friction
8402-OOOHJ,41,20.65,835.15,Two year,No,Mailed check,Female,0,No,No,No,0,0,0.018022817,Low Risk,Upsell security/support bundle
9445-ZUEQE,27,85.2,2151.6,Month-to-month,Fiber optic,Credit card (automatic),Male,0,No,Yes,Yes,0,0,0.47537985,Medium Risk,Upsell security/support bundle
1091-SOZGA,56,99.8,5515.45,One year,Fiber optic,Credit card (automatic),Female,0,No,No,Yes,0,0,0.44641083,Medium Risk,Upsell security/support bundle
2928-HLDBA,6,20.7,112.75,Month-to-month,No,Mailed check,Female,0,No,No,No,0,0,0.19943991,Low Risk,Upsell security/support bundle
0404-SWRVG,3,74.4,229.55,Month-to-month,Fiber optic,Electronic check,Male,0,No,No,Yes,1,1,0.868695,High Risk,Offer contract discount (lock into 1-2yr plan)
6497-TILVL,7,50.7,350.35,Month-to-month,DSL,Mailed check,Female,0,Yes,No,No,0,0,0.36327165,Low Risk,Upsell security/support bundle
7219-TLZHO,4,20.85,62.9,Month-to-month,No,Mailed check,Female,0,No,No,No,0,0,0.23876296,Low Risk,Upsell security/support bundle
4622-YNKIJ,33,88.95,3027.65,Two year,Fiber optic,Electronic check,Male,0,Yes,Yes,Yes,0,0,0.04609284,Low Risk,Monitor — no immediate action needed
4412-YLTKF,27,78.05,2135.5,Month-to-month,Fiber optic,Electronic check,Female,1,No,No,Yes,1,1,0.7444001,High Risk,Upsell security/support bundle
6734-PSBAW,72,23.55,1723.95,Two year,No,Bank transfer (automatic),Male,0,No,No,Yes,0,0,0.0029646633,Low Risk,Upsell security/support bundle
3930-ZGWVE,1,19.75,19.75,Month-to-month,No,Mailed check,Male,0,No,No,No,0,1,0.5305284,Medium Risk,Send proactive onboarding call/email
2639-UGMAZ,71,56.45,3985.35,One year,DSL,Electronic check,Male,1,Yes,No,Yes,0,0,0.08646312,Low Risk,Upsell security/support bundle
2876-GZYZC,13,85.95,1215.65,Month-to-month,Fiber optic,Electronic check,Female,0,No,No,Yes,0,1,0.82141197,High Risk,Upsell security/support bundle
6207-WIOLX,25,58.6,1502.65,Month-to-month,DSL,Credit card (automatic),Female,0,Yes,No,Yes,1,0,0.46458325,Medium Risk,Upsell security/support bundle
8587-XYZSF,67,50.55,3260.1,Two year,DSL,Bank transfer (automatic),Male,0,No,Yes,No,0,0,0.023960464,Low Risk,Upsell security/support bundle
3091-FYHKI,1,35.45,35.45,Month-to-month,DSL,Electronic check,Male,0,No,No,Yes,1,1,0.90631706,High Risk,Send proactive onboarding call/email
2372-HWUHI,2,44.35,81.25,Month-to-month,DSL,Electronic check,Male,0,No,No,No,1,1,0.62270105,Medium Risk,Send proactive onboarding call/email
7799-LGRDP,43,25.7,1188.2,Two year,No,Credit card (automatic),Female,0,No,No,Yes,0,0,0.0412635,Low Risk,Upsell security/support bundle
7850-VWJUU,23,75.0,1778.5,Month-to-month,Fiber optic,Bank transfer (automatic),Female,0,Yes,No,Yes,0,0,0.50445706,Medium Risk,Upsell security/support bundle
3774-VBNXY,64,20.2,1277.75,Two year,No,Mailed check,Female,0,No,No,No,0,0,0.011712792,Low Risk,Upsell security/support bundle
6217-KDYWC,57,19.6,1170.55,Two year,No,Mailed check,Male,0,No,No,Yes,0,0,0.080984786,Low Risk,Upsell security/support bundle
0390-DCFDQ,1,70.45,70.45,Month-to-month,Fiber optic,Mailed check,Female,1,No,No,Yes,1,1,0.90566707,High Risk,Offer contract discount (lock into 1-2yr plan)
3146-MSEGF,72,88.05,6425.65,Two year,DSL,Credit card (automatic),Female,1,Yes,Yes,Yes,0,0,0.0083588455,Low Risk,Offer senior-friendly discounted plan
4080-OGPJL,8,71.15,563.65,Month-to-month,DSL,Electronic check,Female,0,Yes,Yes,No,1,0,0.5249175,Medium Risk,Monitor — no immediate action needed
1095-WGNGG,61,101.05,5971.25,Two year,Fiber optic,Bank transfer (automatic),Female,0,No,No,Yes,0,0,0.09590227,Low Risk,Upsell security/support bundle
2636-SJDOU,64,84.3,5289.05,One year,Fiber optic,Credit card (automatic),Male,0,Yes,No,Yes,0,0,0.09857713,Low Risk,Upsell security/support bundle
1131-QQZEB,71,23.95,1756.2,Two year,No,Bank transfer (automatic),Male,1,No,No,No,0,0,0.006537177,Low Risk,Upsell security/support bundle
5716-EZXZN,65,99.05,6416.7,Two year,Fiber optic,Credit card (automatic),Female,0,Yes,Yes,Yes,0,0,0.11124554,Low Risk,Monitor — no immediate action needed
6837-BJYDQ,3,19.6,61.35,One year,No,Mailed check,Male,0,No,No,No,0,0,0.07039457,Low Risk,Send proactive onboarding call/email
2135-RXIHG,1,45.65,45.65,Month-to-month,DSL,Electronic check,Male,0,No,No,Yes,1,1,0.849341,High Risk,Send proactive onboarding call/email
6440-DKQGE,30,64.5,1929.95,One year,DSL,Credit card (automatic),Male,0,No,No,No,0,0,0.122077696,Low Risk,Upsell security/support bundle
3466-BYAVD,15,69.5,1071.4,Month-to-month,DSL,Mailed check,Male,0,No,Yes,Yes,0,0,0.34274083,Low Risk,Upsell security/support bundle
3780-YVMFA,8,68.55,564.35,Month-to-month,DSL,Electronic check,Female,0,No,Yes,Yes,0,1,0.59421265,Medium Risk,Upsell security/support bundle
3874-EQOEP,7,95.0,655.5,Month-to-month,Fiber optic,Mailed check,Male,0,No,No,No,1,1,0.86756647,High Risk,Upsell security/support bundle
1679-JRFBR,70,108.15,7930.55,One year,Fiber optic,Credit card (automatic),Female,0,Yes,No,Yes,0,0,0.18246295,Low Risk,Upsell security/support bundle
9073-ZZIAY,62,86.1,5215.25,Two year,DSL,Electronic check,Male,0,Yes,Yes,No,0,0,0.039008062,Low Risk,Monitor — no immediate action needed
3077-RSNTJ,6,19.7,113.5,Month-to-month,No,Mailed check,Female,0,No,No,No,0,0,0.26061213,Low Risk,Upsell security/support bundle
6551-GNYDG,14,80.9,1152.8,Month-to-month,Fiber optic,Bank transfer (automatic),Female,0,No,No,Yes,0,1,0.6626351,Medium Risk,Upsell security/support bundle
9167-APMXZ,22,84.15,1821.95,Month-to-month,Fiber optic,Bank transfer (automatic),Female,0,No,No,Yes,0,1,0.6751588,Medium Risk,Upsell security/support bundle
2749-CTKAJ,22,20.15,419.9,One year,No,Mailed check,Male,0,No,No,No,0,0,0.04537597,Low Risk,Upsell security/support bundle
6371-NZYEG,16,64.25,1024.0,Two year,DSL,Mailed check,Male,0,Yes,No,No,0,0,0.04002513,Low Risk,Upsell security/support bundle
7554-NEWDD,10,25.7,251.6,Two year,No,Bank transfer (automatic),Male,0,No,No,No,0,0,0.05835734,Low Risk,Upsell security/support bundle
8992-VONJD,13,56.0,764.55,Month-to-month,DSL,Electronic check,Female,0,Yes,No,Yes,0,1,0.5512638,Medium Risk,Upsell security/support bundle
0867-MKZVY,20,82.4,1592.35,Month-to-month,Fiber optic,Electronic check,Female,0,Yes,No,No,1,1,0.63815194,Medium Risk,Upsell security/support bundle
4482-EWFMI,2,69.7,135.2,Month-to-month,Fiber optic,Electronic check,Female,0,No,No,Yes,0,1,0.79868686,High Risk,Offer contract discount (lock into 1-2yr plan)
4648-YPBTM,53,73.9,3958.25,Two year,DSL,Bank transfer (automatic),Male,0,No,Yes,Yes,0,0,0.020820217,Low Risk,Upsell security/support bundle
2907-ILJBN,11,20.6,233.9,One year,No,Mailed check,Female,0,No,No,No,0,0,0.06889724,Low Risk,Upsell security/support bundle
6345-FZOQH,69,19.9,1363.45,Two year,No,Mailed check,Male,0,No,No,No,0,0,0.010269548,Low Risk,Upsell security/support bundle
3376-BMGFE,4,70.9,273.0,Month-to-month,Fiber optic,Bank transfer (automatic),Female,0,No,No,Yes,1,1,0.78499514,High Risk,Offer contract discount (lock into 1-2yr plan)
5997-OPVFA,72,89.05,6254.45,Two year,DSL,Bank transfer (automatic),Male,0,Yes,Yes,Yes,0,0,0.0051260944,Low Risk,Monitor — no immediate action needed
3445-HXXGF,58,45.3,2651.2,Month-to-month,DSL,Electronic check,Male,1,No,No,Yes,1,1,0.7152494,High Risk,Upsell security/support bundle
1159-WFSGR,16,20.4,321.4,Month-to-month,No,Electronic check,Female,0,No,No,No,0,0,0.16638228,Low Risk,Upsell security/support bundle
7654-YWJUF,43,84.25,3539.25,One year,Fiber optic,Bank transfer (automatic),Male,0,Yes,Yes,Yes,0,0,0.09991984,Low Risk,Monitor — no immediate action needed
